Timestamp,Which of the following best describe(s) how you think of yourself? (Please note that this survey is intended for people who are not just men all the time or just women all the time.),"In a magical world where all title fields on forms were optional and write-your-own, what would you want yours to be?","Supposing all pronouns were accepted by everyone without question and were easy to learn, which pronouns are you happy for people to use for you?",Feedback
11/02/2015 02:48:45,"Nonbinary, Transgender",No title at all,They/them (singular they),
11/02/2015 02:59:49,"Agender, Androgyne, Bigender, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Questioning or unknown, Woman",Pr,"They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 03:06:24,"Nonbinary, Questioning or unknown, Trans, Trans*, Transgender",No title at all,"He/him, None/avoid pronouns, They/them (singular they)",
11/02/2015 03:08:14,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"She/her, They/them (singular they)",
11/02/2015 03:21:08,"Fluid gender/genderfluid, Nonbinary",No title at all,"He/him, She/her, They/them (singular they)",
11/02/2015 03:27:41,"Agender, Nonbinary, Trans, Transgender",Mx,"They/them (singular they), ae/aer",
11/02/2015 03:30:36,"Agender, Fluid gender/genderfluid, Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), They/them (singular they), kye/kym",
11/02/2015 03:34:43,Agender,Mx,They/them (singular they),
11/02/2015 03:38:03,"Bigender, Fluid gender/genderfluid, Man, Nonbinary, Woman",Mx,"He/him, She/her",
11/02/2015 03:52:47,"Cisgender, Questioning or unknown, Woman",No title at all,They/them (singular they),
11/02/2015 03:59:26,"Neutral, Neutrois, Nonbinary, Third Gender",No title at all,They/them (singular they),Thanks for doing this--even the slightest acknowledgement of identity really helps with self-esteem.
11/02/2015 04:06:05,Agender,No title at all,They/them (singular they),
11/02/2015 04:07:28,Nonbinary,No title at all,"Ey/em (Spivak), They/them (singular they)","might think about plural ""they"" as an option, although that's a bit nitpicky"
11/02/2015 04:09:31,"Fluid gender/genderfluid, Nonbinary, Trans, Transgender, demiboy",Mx,"He/him, xe/xer",thanks
11/02/2015 04:17:55,Trans*,No title at all,"He/him, None/avoid pronouns, They/them (singular they)",
11/02/2015 04:20:37,Woman,Ms,She/her,
11/02/2015 04:27:48,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender, Woman",No title at all,"Ey/em (Spivak), They/them (singular they)",thank you for conducting this survey im interested in the results
11/02/2015 04:31:55,Questioning or unknown,No title at all,She/her,
11/02/2015 04:32:01,"Agender, Nonbinary, Transgender",No title at all,"It/that, They/them (singular they)",
11/02/2015 04:32:52,"Fluid gender/genderfluid, Genderqueer, Man, Woman",Mx,"He/him, She/her, They/them (singular they)",
11/02/2015 04:33:56,"Bigender, Man, Woman",No title at all,"He/him, She/her",
11/02/2015 04:34:44,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"She/her, They/them (singular they)",
11/02/2015 04:36:11,"Genderqueer, Neutral, Questioning or unknown",No title at all,"None/avoid pronouns, They/them (singular they)",
11/02/2015 04:37:30,"Cisgender, Woman",No title at all,"Zie/hir, or some variation thereof",
11/02/2015 04:43:28,"Androgyne, Questioning or unknown, Transgender",Mx,Ve/ver/vis,
11/02/2015 04:45:14,Fluid gender/genderfluid,Miss,They/them (singular they),
11/02/2015 04:55:54,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*",Mx,"He/him, She/her, They/them (singular they)",
11/02/2015 05:00:51,"Fluid gender/genderfluid, Nonbinary, Syngender",Mx,"He/him, They/them (singular they)",
11/02/2015 05:15:13,"Agender, Genderqueer, Nonbinary, Questioning or unknown, Trans, Transgender, transmasculine/masculine-presenting",No title at all,"Ey/em (Spivak), They/them (singular they)",
11/02/2015 06:12:07,"Fluid gender/genderfluid, Trans",No title at all,They/them (singular they),
11/02/2015 06:13:39,"Genderqueer, Nonbinary",Mx,They/them (singular they),
11/02/2015 06:19:29,"Questioning or unknown, Woman",Ms,Questioning or unknown,
11/02/2015 06:24:29,"Agender, Neutral",No title at all,Any,
11/02/2015 06:33:34,"Agender, Nonbinary, Trans",Mx,They/them (singular they),
11/02/2015 06:35:04,"Agender, Genderqueer, Nonbinary",Mr,"They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 06:52:10,"Fluid gender/genderfluid, Man, Nonbinary, Trans, Woman",No title at all,"He/him, She/her, They/them (singular they), Zie/hir, or some variation thereof","Pronouns is a hard one to answer. Any are fine, really, except it (blech). On the other hand, I'm not really a fan of most gender neutral pronoun systems, especially the ones that don't really inflect at all. I guess I can take the question as ""which would make you happy"" rather than ""which are acceptable"", which is a bit narrower category."
11/02/2015 06:51:15,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,They/them (singular they),
11/02/2015 07:51:17,"Androgyne, Fluid gender/genderfluid",No title at all,"She/her, They/them (singular they)",
11/02/2015 08:55:26,"Androgyne, Nonbinary",No title at all,"She/her, They/them (singular they), Zie/hir, or some variation thereof","Australia. I live in Australia. Where our High Court has had some impact on non-binary recognition. So, you might like to think about including us in your survey of English speaking nations."
11/02/2015 09:29:43,"Nonbinary, Questioning or unknown",No title at all,None/avoid pronouns,
11/02/2015 09:45:28,Nonbinary,Ms,Questioning or unknown,
11/02/2015 10:41:45,"Androgyne, Trans, Trans*, Transgender",No title at all,"He/him, None/avoid pronouns",
11/02/2015 10:44:47,"Agender, Nonbinary",Mr,They/them (singular they),
11/02/2015 11:25:18,"Genderqueer, Nonbinary, Transgender",Mx,They/them (singular they),
11/02/2015 11:47:50,"Fluid gender/genderfluid, Nonbinary",No title at all,Any,
11/02/2015 12:14:11,"Fluid gender/genderfluid, Nonbinary",No title at all,They/them (singular they),
11/02/2015 12:17:56,"Bigender, Fluid gender/genderfluid, Man, Nonbinary, Questioning or unknown, Trans",No title at all,"He/him, It/that, Questioning or unknown",
11/02/2015 12:25:34,"Androgyne, Genderqueer, Intergender, Third Gender",No title at all,None/avoid pronouns,
11/02/2015 13:04:11,Man,Mr,He/him,
11/02/2015 13:06:46,"Neutrois, Nonbinary, Trans, Transgender",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 13:23:56,"Genderqueer, Nonbinary, Trans, Trans*",No title at all,"None/avoid pronouns, They/them (singular they)",
11/02/2015 13:36:35,"Genderqueer, Nonbinary",Mx,They/them (singular they),
11/02/2015 13:38:35,"Agender, Nonbinary",Mx,They/them (singular they),
11/02/2015 14:07:03,"Fluid gender/genderfluid, Genderqueer, Questioning or unknown, Woman",Ms,"She/her, They/them (singular they)",
11/02/2015 14:37:26,"Intergender, Man, Trans, Trans*, Transgender",Mr,"He/him, Zie/hir, or some variation thereof",
11/02/2015 14:43:19,Genderqueer,No title at all,They/them (singular they),
11/02/2015 14:43:44,Genderqueer,No title at all,"He/him, She/her, They/them (singular they)",
11/02/2015 14:53:55,"Bigender, Fluid gender/genderfluid, Questioning or unknown",No title at all,Questioning or unknown,
11/02/2015 14:57:05,"Genderqueer, Nonbinary, Trans",Mr,"Ey/em (Spivak), He/him, They/them (singular they)",
11/02/2015 15:42:35,Man,Mr,"He/him, Questioning or unknown, They/them (singular they)",
11/02/2015 15:44:33,"Fluid gender/genderfluid, Genderqueer",Miss,"Any, He/him, She/her, They/them (singular they)","I don't really care about pronouns since I'm not about to yell at people on the street for not knowing me personally. Or anyone I know, either for that matter. I don't think it is all that big of a deal"
11/02/2015 15:55:01,Agender,Mr,They/them (singular they),
11/02/2015 16:03:19,"Agender, Nonbinary, Woman, demiwoman ",No title at all,"Ey/em (Spivak), They/them (singular they), fae/faer",
11/02/2015 16:06:15,"Androgyne, Neutral, Woman, female",No title at all,Any,
11/02/2015 16:19:09,"Agender, Nonbinary, gendervoid, no gender at all",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
11/02/2015 16:19:14,"Agender, Androgyne, Nonbinary",M,"They/them (singular they), Cae/caem",
11/02/2015 16:24:24,"Bigender, Genderqueer, Nonbinary",No title at all,"She/her, They/them (singular they)",
11/02/2015 16:25:35,"Cisgender, Man",Dr,"He/him, They/them (singular they)",
11/02/2015 16:27:22,"Genderqueer, Nonbinary, Trans, Transgender, transmasculine",No title at all,They/them (singular they),
11/02/2015 16:31:53,"Questioning or unknown, human",No title at all,"He/him, She/her, They/them (singular they)",
11/02/2015 16:36:44,"Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans, Transgender",No title at all,"He/him, They/them (singular they)",
11/02/2015 16:44:43,"Neutral, Nonbinary, Questioning or unknown, Not a girl",Mx,"Questioning or unknown, They/them (singular they), Anything except she/her and it/that",
11/02/2015 16:49:45,Genderqueer,Miss,She/her,
11/02/2015 16:52:23,"Agender, Neutral, Neutrois, Nonbinary, Trans, Trans*, Transgender",No title at all,"Ey/em (Spivak), None/avoid pronouns, They/them (singular they), Spivak but e/em/eir/emself",
11/02/2015 17:05:39,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown",No title at all,"Any, He/him, Questioning or unknown, She/her, They/them (singular they), Ideally I'd want people to use ""she/her"" when I felt more female and ""he/him"" when I felt more male and just avoid pronouns when I felt somewhere in between but I realize it would be impossible for people to know.",
11/02/2015 17:07:05,"Agender, Nonbinary, Questioning or unknown",No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 17:07:07,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
11/02/2015 17:27:03,"Genderqueer, Nonbinary, Questioning or unknown",No title at all,"She/her, They/them (singular they)",
11/02/2015 17:34:18,Agender,No title at all,They/them (singular they),
11/02/2015 17:38:33,"Neutral, Nonbinary",No title at all,"Questioning or unknown, Hen (swedish neutral pronoun)",
11/02/2015 17:57:19,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,She/her,"I want to clarify why as someone with no real gender affiliation I go by my sex at birth pronouns: it's just easier. I have noticeable breasts, so I'm always gendered as a girl. I know that some genderqueer people are really put off by having to pick a pronoun and try to go with a gender neutral one, but I just view it as another strange quirk of language, and I just go with whatever pronouns people choose to use with me, which happens to almost always be she/her."
11/02/2015 18:11:03,"Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
11/02/2015 18:28:41,"Neutral, Woman",No title at all,"She/her, They/them (singular they)",
11/02/2015 18:42:02,Man,Mr,He/him,
11/02/2015 18:45:15,"Genderqueer, Nonbinary, Trans*, Demigirl. (DFAB person who is more androgynous than anything, but identified as a cis lesbian until their mid-late 30s)",No title at all,"Ey/em (Spivak), She/her, They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 18:47:03,Man,Mr,He/him,I am an heterosexual man
11/02/2015 18:49:21,Neutral,No title at all,Any,
11/02/2015 18:56:57,"Androgyne, Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*",Mx,"They/them (singular they), Zie/hir, or some variation thereof, both her and him changeably","I live in Poland, but I believe that the key to development and diversity is sharing our experiences."
11/02/2015 18:57:51,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
11/02/2015 18:59:14,"Fluid gender/genderfluid, Man, Nonbinary, Trans*, Woman",Mx,They/them (singular they),
11/02/2015 19:01:15,"Cisgender, Man",Mr,"He/him, They/them (singular they)",
11/02/2015 19:12:20,"Fluid gender/genderfluid, Genderqueer, Nonbinary",Mx,They/them (singular they),"I live in Canada, in case that has any relevance to you. Thanks for making this!"
11/02/2015 19:15:27,"Fluid gender/genderfluid, Genderqueer, Nonbinary",Mx,They/them (singular they),
11/02/2015 19:27:16,"Fluid gender/genderfluid, Nonbinary",Mx,They/them (singular they),
11/02/2015 19:29:21,"Androgyne, Genderqueer, Nonbinary, Questioning or unknown, Trans",Pr,"Zie/hir, or some variation thereof",
11/02/2015 19:34:30,"Fluid gender/genderfluid, Nonbinary, Trans*, Demiboy",No title at all,"He/him, They/them (singular they)","Not much I have to say; I debated putting ""Prince"" as the title simply because I quite enjoy having that as a title referring to me, but I decided it would appear too much of a joke title. Other notes incluse maybe including demigirl/demiboy in the future, unless that falls under one of the categories already used and I'm just not aware of it?"
11/02/2015 19:43:27,"Agender, Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Third Gender",Mx,"Any, He/him, None/avoid pronouns",
11/02/2015 19:44:56,"Cisgender, Fluid gender/genderfluid, Genderqueer, Woman",No title at all,"Any, She/her, They/them (singular they), no preference",
11/02/2015 19:49:09,"Agender, Nonbinary, Woman",No title at all,Ey/em (Spivak),
11/02/2015 19:52:51,Man,Mr,He/him,
11/02/2015 19:58:22,"Genderqueer, Nonbinary, Trans",No title at all,"Ey/em (Spivak), They/them (singular they)",A+
11/02/2015 20:01:04,Questioning or unknown,No title at all,She/her,
11/02/2015 20:01:32,Fluid gender/genderfluid,No title at all,Xe/Xem,
11/02/2015 20:01:37,"Agender, Androgyne, Neutrois, Nonbinary",Mx,"He/him, It/that, None/avoid pronouns, They/them (singular they)",
11/02/2015 20:21:34,"Agender, Neutral",Mx,They/them (singular they),
11/02/2015 20:34:25,"Agender, Genderqueer, Neutrois, Nonbinary, Trans*, Transgender",No title at all,"Ey/em (Spivak), None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",thank you for this questionnaire. it makes me sad how beautiful and accepting it can already be to be asked so respectfully about something that is usually so painful and normed. stay awesome <3
11/02/2015 20:36:48,Agender,No title at all,"Any, None/avoid pronouns, They/them (singular they)",
11/02/2015 20:37:54,"Androgyne, Genderqueer, Nonbinary, Trans, Trans*, Transgender",No title at all,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 20:39:24,"Androgyne, Intergender, Nonbinary, Transgender",Mx,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof, Thon/thon/thons",
11/02/2015 21:12:19,"Agender, Nonbinary",Misc,Tey/tem,
11/02/2015 21:23:21,"Genderqueer, Trans*, Just a person",No title at all,"None/avoid pronouns, They/them (singular they)",
11/02/2015 21:41:19,Androgyne,No title at all,They/them (singular they),
11/02/2015 21:53:24,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"He/him, It/that, She/her, They/them (singular they)",
11/02/2015 22:38:26,"Nonbinary, Questioning or unknown, Trans, Transgender, Woman",No title at all,"It/that, She/her, They/them (singular they), nounself",
11/02/2015 22:42:27,Agender,No title at all,They/them (singular they),
11/02/2015 22:45:18,"Agender, Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Trans",No title at all,"He/him, They/them (singular they)",
11/02/2015 22:52:55,"Agender, Androgyne, Fluid gender/genderfluid, Nonbinary, Trans, Transgender",Mr,"Ey/em (Spivak), He/him, Zie/hir, or some variation thereof",
11/02/2015 23:06:58,"Agender, Nonbinary, Trans",Mx,"He/him, They/them (singular they)",
11/02/2015 23:14:46,"Agender, Neutrois, Nonbinary",Mx,They/them (singular they),
11/02/2015 23:19:07,Nonbinary,No title at all,They/them (singular they),
11/02/2015 23:23:48,"Agender, Questioning or unknown",Mx,"Any, She/her, They/them (singular they), Zie/hir, or some variation thereof",
11/02/2015 23:26:42,Neutral,No title at all,None/avoid pronouns,
11/02/2015 23:29:19,"Genderqueer, Man",Mr,"Ey/em (Spivak), He/him, They/them (singular they)","Just to be clear, I'm probably not the most representative out there. I look like a typical man, and apart from the fact that I'm very comfortable with having from time to time feminine mannerisms, I do not broadcast the fact that I relate extremely well to both males and females. I'm just never out of place. I'll never be the ""token guy"" in a group of women, just a friend they treat the exact same way (idem with men)."
11/02/2015 23:41:16,"Agender, Fluid gender/genderfluid, Genderqueer, Man, Questioning or unknown",No title at all,"Ey/em (Spivak), He/him",
11/02/2015 23:49:43,"Agender, Nonbinary",No title at all,"They/them (singular they), Zie/hir, or some variation thereof, Ram/Ramself",
12/02/2015 00:21:37,Fluid gender/genderfluid,Switch between Miss and Mister depending on the gender I feel like that day,Use she/her when I feel female and he/him when I feel male,
12/02/2015 00:30:00,"Agender, Nonbinary, Trans*, Woman",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 00:38:14,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Woman",Miss,They/them (singular they),
12/02/2015 00:44:03,"Trans*, Transgender, Woman",Ms,She/her,
12/02/2015 00:58:24,"Fluid gender/genderfluid, Genderqueer, Intergender, Neutral, Neutrois, Nonbinary, Third Gender, Trans*",Misc,"They/them (singular they), Xe,Xem,Xeir",
12/02/2015 01:10:49,"Agender, Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",Mx,"He/him, It/that, She/her, Xe/xem",
12/02/2015 01:18:20,Agender,Mx,"He/him, They/them (singular they)",
12/02/2015 01:24:57,"Trans, Trans*, Transgender",Mx,They/them (singular they),
12/02/2015 01:27:54,"Agender, Fluid gender/genderfluid, Genderqueer",No title at all,"She/her, They/them (singular they)",
12/02/2015 01:36:37,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Questioning or unknown, Trans, Woman",No title at all,Ey/em (Spivak),
12/02/2015 01:50:14,"Genderqueer, Trans*",Mr,He/him,
12/02/2015 02:04:01,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Transgender, sui generis (""of my own kind"")",No title at all,xe/xyr,
12/02/2015 02:08:36,"Nonbinary, Questioning or unknown, Third Gender, Woman",No title at all,"He/him, She/her, They/them (singular they)","you should ask people's races if you're going to ask about third gender. Also ""gay"", ""lesbian"" and ""queer"" can be gendered terms for a lot of people."
12/02/2015 02:19:53,"Cisgender, Woman",Miss,She/her,
12/02/2015 02:27:44,"Cisgender, Fluid gender/genderfluid, Genderqueer, Intergender, Neutral, Nonbinary, Woman",Miss,She/her,
12/02/2015 02:32:21,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Trans*, Woman",Mr,None/avoid pronouns,
12/02/2015 02:44:28,"Agender, Third Gender, Transgender, Woman",Mx,"She/her, They/them (singular they)",I like this survey. Visibility!
12/02/2015 02:48:43,"Androgyne, Genderqueer, Third Gender",Mx,"Co/co, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 02:48:54,"Androgyne, Genderqueer, Third Gender",Mx,"Co/co, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 03:01:38,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"Any, Questioning or unknown, She/her, They/them (singular they)",
12/02/2015 03:49:28,"Fluid gender/genderfluid, Nonbinary, Questioning or unknown, Trans, Trans*",No title at all,fae/faer and lun/luns,
12/02/2015 04:11:26,Genderqueer,No title at all,Any,
12/02/2015 04:18:31,"Agender, Fluid gender/genderfluid, Neutral, Nonbinary",Miss,"Questioning or unknown, She/her",
12/02/2015 04:26:51,Genderqueer,No title at all,They/them (singular they),
12/02/2015 04:29:14,Agender,No title at all,None/avoid pronouns,
12/02/2015 04:31:06,Nonbinary,No title at all,He/him,
12/02/2015 05:13:33,"Agender, Nonbinary, Questioning or unknown, Trans",Mx,"Questioning or unknown, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 05:22:12,"Cisgender, Fluid gender/genderfluid, Neutral, Nonbinary, Woman",No title at all,"Any, She/her",
12/02/2015 05:35:23,"Androgyne, Neutrois, Nonbinary",No title at all,They/them (singular they),
12/02/2015 05:55:12,"Genderqueer, Nonbinary",Mx,They/them (singular they),
12/02/2015 06:16:50,Fluid gender/genderfluid,No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 06:35:20,"Genderqueer, Neutral, Neutrois, Nonbinary, Trans",No title at all,"Ey/em (Spivak), They/them (singular they), ze/zir",
12/02/2015 06:35:59,"Genderqueer, Trans*, transmasculine",No title at all,"Questioning or unknown, They/them (singular they)",
12/02/2015 06:42:29,"Agender, Nonbinary, Questioning or unknown, Genderless",No title at all,"None/avoid pronouns, Questioning or unknown, She/her, They/them (singular they)",
12/02/2015 07:25:17,"Agender, Genderqueer, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they)",
12/02/2015 07:57:33,"Cisgender, Genderqueer, Nonbinary, Questioning or unknown",No title at all,"She/her, They/them (singular they)",
12/02/2015 09:01:13,"Fluid gender/genderfluid, Genderqueer, Man, Neutral, Nonbinary, Transgender",Mx,"He/him, They/them (singular they)",
12/02/2015 09:23:05,"Transgender, I'm not agender or non gender, and I regard my gender as rather stable, but I still have trouble to chose one single word for it. Many of the suggestions are overlappning and pointing to different aspects of sex and gender.",No title at all,"Zie/hir, or some variation thereof",
12/02/2015 09:51:00,"Androgyne, Genderqueer, Nonbinary, Butch",No title at all,"Any, Co/co, It/that, None/avoid pronouns, Questioning or unknown, She/her, Zie/hir, or some variation thereof",
12/02/2015 10:18:48,"Agender, Genderqueer, Nonbinary",No title at all,"Any, He/him, None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 10:40:46,"Agender, Fluid gender/genderfluid, Nonbinary, Trans, Masculine / Demiboy","Well, I'd like to be a Dr, but failing getting a phD I'd go for none","He/him, They/them (singular they)",
12/02/2015 10:57:07,"Agender, Genderqueer, Neutrois, Nonbinary, Trans*",No title at all,"None/avoid pronouns, They/them (singular they)",
12/02/2015 11:42:15,"Agender, Trans, Trans*, Transgender, Demigirl",No title at all,"She/her, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 12:40:47,"Agender, Trans",No title at all,They/them (singular they),
12/02/2015 12:51:52,Intergender,Misc,"He/him, It/that, She/her, They/them (singular they)",
12/02/2015 13:38:24,"Agender, Fluid gender/genderfluid, Nonbinary, Transgender",Mx,They/them (singular they),
12/02/2015 13:49:42,"Nonbinary, Transgender",Ms,"She/her, They/them (singular they)",
12/02/2015 14:21:49,"Agender, Androgyne, Genderqueer, Nonbinary, Questioning or unknown",No title at all,They/them (singular they),
12/02/2015 15:11:24,"Genderqueer, Nonbinary",No title at all,"They/them (singular they), Xe, xem, xer",
12/02/2015 15:22:19,Fluid gender/genderfluid,Mx,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 15:32:35,"Agender, Fluid gender/genderfluid, Nonbinary, Questioning or unknown, Trans, Transgender",mn,"It/that, None/avoid pronouns, They/them (singular they)",
12/02/2015 15:36:12,"Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
12/02/2015 15:40:14,"Nonbinary, Trans",Mx,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 15:41:06,"Fluid gender/genderfluid, Nonbinary",No title at all,They/them (singular they),
12/02/2015 15:43:29,"Agender, Fluid gender/genderfluid, Nonbinary, Trans",Mx,"Ey/em (Spivak), They/them (singular they), Fae/faer",
12/02/2015 15:44:59,"Agender, Androgyne, Fluid gender/genderfluid, Neutral, Neutrois, Nonbinary, Trans",No title at all,"Ey/em (Spivak), It/that, They/them (singular they)",Multiple title options would be nice
12/02/2015 15:45:54,"Agender, Neutral, Nonbinary, Trans, Transgender",Mx,"They/them (singular they), hin/hin",
12/02/2015 15:46:13,"Nonbinary, Transgender, borderfluid",Mx,"He/him, They/them (singular they), it/its",
12/02/2015 15:46:32,"Agender, Neutral, Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), Questioning or unknown, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 15:46:56,"Agender, Neutral, Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), Questioning or unknown, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 15:47:01,Agender,Mx,Sie/sier,
12/02/2015 15:48:44,Nonbinary,No title at all,They/them (singular they),
12/02/2015 15:49:30,"Fluid gender/genderfluid, Genderqueer",Mx,They/them (singular they),
12/02/2015 15:52:18,"Nonbinary, Trans",Pr,They/them (singular they),
12/02/2015 15:53:02,"Bigender, Trans",Mr,He/him,
12/02/2015 15:54:58,"Neutral, Nonbinary, Trans",No title at all,They/them (singular they),
12/02/2015 15:55:05,"Androgyne, Genderqueer, Nonbinary, Questioning or unknown",Mx,"Questioning or unknown, They/them (singular they)",
12/02/2015 15:58:37,"Agender, Neutral, Nonbinary, Trans, Transgender, Woman, Girl, and occasionally the use of boy, but in a very seperated from Men/manhood type use of boy? I basically wish the word was neutral and i could steal it without the gender implications because it resonates with me.","I'm not entirely ure? I'm fairly comfortable with Ms/Miss but they can be uncomfortable in excess or over time. I wish it was something you were allowed to adjust. So perhaps no title, then.","He/him, None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof, I really like a mix (if with minimum amount of he/him, i like the set but not the association and solidarity with Manhood that often comes with it, ya know?). But as I often have trouble getting to try new ones or guilt myself about it, I'm not sure a magically more accepting environment would change that. Ideally - lots of different sets, and mixed up a bit! alternated! Different people specificaly use different sets for me! In a more realistic setting, a few specific options but also, aviding pronoun can be pleasant. They is good for a pinch.",
12/02/2015 15:58:48,"Agender, Neutral, Neutrois, Nonbinary, Transgender",No title at all,"He/him, They/them (singular they)",
12/02/2015 16:01:25,"Agender, Genderqueer, Nonbinary",Mx,"They/them (singular they), The Skeleton God",
12/02/2015 16:01:27,"Agender, Androgyne, Neutrois, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
12/02/2015 16:03:00,"Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans, Transgender, Transmasculine",Mx,"Ey/em (Spivak), He/him, They/them (singular they)",
12/02/2015 16:04:05,"Agender, Fluid gender/genderfluid, Nonbinary, Woman",Miss,"None/avoid pronouns, She/her, They/them (singular they)",
12/02/2015 16:05:08,Agender,No title at all,"He/him, They/them (singular they)",
12/02/2015 16:06:14,"Nonbinary, Trans, Woman",No title at all,"Ey/em (Spivak), She/her",
12/02/2015 16:14:49,"Genderqueer, Nonbinary, Trans, Trans*, Transgender",Ind. (short for individual),,
12/02/2015 16:23:38,"Genderqueer, Trans",Mx,"Zie/hir, or some variation thereof",
12/02/2015 16:24:16,"Agender, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
12/02/2015 16:28:13,"Agender, Fluid gender/genderfluid, Genderqueer, Neutral, Neutrois, Nonbinary",Dr,"He/him, She/her, They/them (singular they)",
12/02/2015 16:31:10,"Fluid gender/genderfluid, Nonbinary, Trans, Transgender",Mx,Any,
12/02/2015 16:34:13,"Agender, Nonbinary, Trans, Transgender",Pr,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 16:38:51,"Agender, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans, Transgender",Mx,"He/him, They/them (singular they)",
12/02/2015 16:39:30,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Woman",Mx,"She/her, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 16:39:58,"Genderqueer, Nonbinary, Trans, Transgender, agender",No title at all,It/that,
12/02/2015 16:43:10,Neutral,No title at all,"Any, They/them (singular they)",
12/02/2015 16:49:26,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman",Mx,"Any, Questioning or unknown, She/her, They/them (singular they)",
12/02/2015 16:51:41,"Fluid gender/genderfluid, Questioning or unknown",Mx,"Ey/em (Spivak), She/her, They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 16:52:27,"Agender, Nonbinary, Trans, Transgender, Woman",Mx,They/them (singular they),
12/02/2015 17:08:40,"Fluid gender/genderfluid, Nonbinary",No title at all,"They/them (singular they), Ask before using as pronouns may vary. In my native language I'd use ""hen/hens/henom"".",
12/02/2015 17:11:26,Questioning or unknown,No title at all,They/them (singular they),
12/02/2015 17:28:32,"Agender, Nonbinary, Trans",No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
12/02/2015 17:31:02,"Nonbinary, Trans, Transgender, demiboy",Mx,"He/him, They/them (singular they)",
12/02/2015 17:34:03,"Fluid gender/genderfluid, Nonbinary, Trans",Ser,"He/him, They/them (singular they)",
